hero_id;hero_name;asset_id;asset_type;source_file;source_pdf_page;recommended_action;priority;status;notes
hero-005;ЕВГЕНИЙ;hero-005_p027_image174;group;hero-005/groups/hero-005_p027_image174.jpg;27;enhance_group;medium;pending;"Нативный поток из source/reference.pdf без повторного сжатия; фото без уверенно обнаруженного лица; лица автоматически не обнаружены; REVIEW_REQUIRED: проверить тип и пригодность перед раздачей"
hero-007;АЛМАТ;hero-007_p033_image199;group;hero-007/groups/hero-007_p033_image199.jpg;33;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-009;ЕГОР;hero-009_p039_image225;group;hero-009/groups/hero-009_p039_image225.jpg;39;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-011;АНДРЕЙ;hero-011_p046_image255;group;hero-011/groups/hero-011_p046_image255.jpg;46;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-013;ВАДИМ;hero-013_p053_image287;group;hero-013/groups/hero-013_p053_image287.jpg;53;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-014;ЕВГЕНИЙ;hero-014_p056_image304;group;hero-014/groups/hero-014_p056_image304.jpg;56;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-017;АЛЕКСАНДР;hero-017_p066_image343;group;hero-017/groups/hero-017_p066_image343.jpg;66;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-023;ДМИТРИЙ;hero-023_p083_image418;group;hero-023/groups/hero-023_p083_image418.jpg;83;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-028;ТАЛГАТ;hero-028_p100_image484;group;hero-028/groups/hero-028_p100_image484.jpg;100;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-029;АЛЕКСАНДР;hero-029_p104_image505;group;hero-029/groups/hero-029_p104_image505.jpg;104;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-031;СЕРГЕЙ;hero-031_p110_image529;group;hero-031/groups/hero-031_p110_image529.jpg;110;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-036;АНДРЕЙ;hero-036_p125_image593;group;hero-036/groups/hero-036_p125_image593.jpg;125;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
