hero_id;hero_name;asset_id;asset_type;source_file;source_pdf_page;recommended_action;priority;status;notes
hero-005;ЕВГЕНИЙ;hero-005_p027_image176;group;hero-005/groups/hero-005_p027_image176.jpg;27;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-007;АЛМАТ;hero-007_p034_image202;group;hero-007/groups/hero-007_p034_image202.jpg;34;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; разметка смешанной страницы; несколько сопоставимых лиц"
hero-009;ЕГОР;hero-009_p040_image228;group;hero-009/groups/hero-009_p040_image228.jpg;40;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; разметка смешанной страницы; несколько сопоставимых лиц"
hero-012;ВИКТОР;hero-012_p049_image268;group;hero-012/groups/hero-012_p049_image268.jpg;49;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-013;ВАДИМ;hero-013_p053_image288;group;hero-013/groups/hero-013_p053_image288.jpg;53;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-014;ЕВГЕНИЙ;hero-014_p057_image307;group;hero-014/groups/hero-014_p057_image307.jpg;57;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-019;АНАТОЛИЙ;hero-019_p071_image367;group;hero-019/groups/hero-019_p071_image367.jpg;71;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-024;АЛЕКСЕЙ;hero-024_p086_image430;group;hero-024/groups/hero-024_p086_image430.jpg;86;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-028;ТАЛГАТ;hero-028_p100_image487;group;hero-028/groups/hero-028_p100_image487.jpg;100;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-029;АЛЕКСАНДР;hero-029_p104_image506;group;hero-029/groups/hero-029_p104_image506.jpg;104;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-032;НИКОЛАЙ;hero-032_p113_image539;group;hero-032/groups/hero-032_p113_image539.jpg;113;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-036;АНДРЕЙ;hero-036_p125_image595;group;hero-036/groups/hero-036_p125_image595.jpg;125;enhance_group;medium;pending;"Нативный поток из source/reference.pdf без повторного сжатия; фото без уверенно обнаруженного лица; лица автоматически не обнаружены; REVIEW_REQUIRED: проверить тип и пригодность перед раздачей"
hero-039;ВАСИЛИЙ;hero-039_p134_image629;group;hero-039/groups/hero-039_p134_image629.jpg;134;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-043;ВЛАДИСЛАВ;hero-043_p146_image673;group;hero-043/groups/hero-043_p146_image673.jpg;146;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-045;САНАЛ;hero-045_p152_image702;group;hero-045/groups/hero-045_p152_image702.jpg;152;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-047;АЛЕКСАНДР;hero-047_p160_image732;group;hero-047/groups/hero-047_p160_image732.jpg;160;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-050;МУСТАФА;hero-050_p169_image769;group;hero-050/groups/hero-050_p169_image769.jpg;169;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-051;ВИКТОР;hero-051_p173_image788;group;hero-051/groups/hero-051_p173_image788.jpg;173;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-054;ВЯЧЕСЛАВ;hero-054_p182_image817;group;hero-054/groups/hero-054_p182_image817.jpg;182;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-054;ВЯЧЕСЛАВ;hero-054_p183_image825;group;hero-054/groups/hero-054_p183_image825.jpg;183;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-056;ВЯЧЕСЛАВ;hero-056_p190_image850;group;hero-056/groups/hero-056_p190_image850.jpg;190;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-060;ДЕНИС;hero-060_p202_image901;group;hero-060/groups/hero-060_p202_image901.jpg;202;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-063;НИКОЛАЙ;hero-063_p211_image935;group;hero-063/groups/hero-063_p211_image935.jpg;211;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-066;ИЛЬГАМ;hero-066_p219_image959;group;hero-066/groups/hero-066_p219_image959.jpg;219;enhance_group;medium;pending;"Нативный поток из source/reference.pdf без повторного сжатия; фото без уверенно обнаруженного лица; лица автоматически не обнаружены; REVIEW_REQUIRED: проверить тип и пригодность перед раздачей"
hero-068;АБДУЛБЕК;hero-068_p227_image994;group;hero-068/groups/hero-068_p227_image994.jpg;227;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-069;АНТОН;hero-069_p233_image1019;group;hero-069/groups/hero-069_p233_image1019.jpg;233;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; разметка смешанной страницы; несколько сопоставимых лиц"
hero-072;ФЕДОР;hero-072_p241_image1047;group;hero-072/groups/hero-072_p241_image1047.jpg;241;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; разметка смешанной страницы; несколько сопоставимых лиц"
hero-074;АРТУР;hero-074_p248_image1074;group;hero-074/groups/hero-074_p248_image1074.jpg;248;enhance_group;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; несколько сопоставимых лиц"
hero-001;АНАСТАСИЯ;hero-001_photo_01;portrait;hero-001/portraits/hero-001_photo_01_master.png;13;enhance_person;high;pending;"Проверенный master_from_pdf; скопирован без изменения"
hero-002;ИГОРЬ;hero-002_photo_01;portrait;hero-002/portraits/hero-002_photo_01_master.png;16;enhance_person;high;pending;"Проверенный master_from_pdf; скопирован без изменения"
hero-003;ВЯЧЕСЛАВ;hero-003_p020_image148;portrait;hero-003/portraits/hero-003_p020_image148.jpg;20;enhance_person;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; одно доминирующее лицо"
hero-007;АЛМАТ;hero-007_p033_image197;portrait;hero-007/portraits/hero-007_p033_image197.jpg;33;enhance_person;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; одно доминирующее лицо"
hero-010;АЛЕКСЕЙ;hero-010_p042_image238;portrait;hero-010/portraits/hero-010_p042_image238.jpg;42;enhance_person;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; одно доминирующее лицо"
hero-012;ВИКТОР;hero-012_p049_image267;portrait;hero-012/portraits/hero-012_p049_image267.jpg;49;enhance_person;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; одно доминирующее лицо"
hero-015;ИЛЬЯ;hero-015_p062_image323;portrait;hero-015/portraits/hero-015_p062_image323.jpg;62;enhance_person;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; одно доминирующее лицо"
hero-020;БУЛАТ;hero-020_p074_image380;portrait;hero-020/portraits/hero-020_p074_image380.jpg;74;enhance_person;high;pending;"Нативный поток из source/reference.pdf без повторного сжатия; одно доминирующее лицо"
